headline,entity,majority_label
Trump’s effort to block Bolton’s testimony makes little sense — unless he’s guilty,Trump,Negative
Leading Democrats Stand Behind Biden After Sexual-Assault Allegation,Democrats,Negative
"Senate Acquits Trump, Ending Historic Trial",Trump,Positive
Sanders overtakes Biden in national poll for first time,Sanders,Positive
"Manchin, swing-state senators swarmed with Dem hugs after voting to convict Trump",Trump,Negative
Trump State of the Union Won't Be 1st Delivered Amid Turmoil,Trump,Neutral
"Sanders defiantly declares victory in disputed Iowa contest, amid caucus confusion",Sanders,Positive
Pat Cipollone: White House Counsel Who Will Help Lead Trump Legal Team,Trump,Neutral
"Sanders narrowly beats Buttigieg to win New Hampshire, Klobuchar surges disappointing night for Biden, Warren",Buttigieg,Neutral
"AP VoteCast: NH Democrats Angry, Seek Alternative to Trump",Democrats,Neutral
Full Video: Democratic Response to Trump’s State of the Union Speech,Trump,Neutral
First set of Iowa Democratic caucus results shows Sanders and Buttigieg leading,Buttigieg,Positive
"Republicans: Aid release to Ukraine shows no quid pro quo, and other poor defenses - The Washington Post",Republicans,Positive
A Rare Trump-Era Climate Policy Hits an Obstacle: The Tax Man,Trump,Negative
Firings at Trump Property Cap Year of Purging Undocumented Workers,Trump,Negative
Trump Tries to Upstage Drama in the Senate With His Own Programming,Trump,Negative
Biden Aides Weigh Pursuing an Iowa Caucus Alliance With Klobuchar,Klobuchar,Negative
"Hope Hicks, former top aide to Trump, to return to the White House as reelection campaign heats up",Trump,Neutral
Factbox: Trump Impeachment-What Happens Next?,Trump,Negative
"The Daily 202: Donald Trump, the Houston Astros and the fear of the asterisk",Trump,Negative
Trump says first-of-its-kind Kenya trade deal 'probably' will happen,Trump,Positive
"Trump's Pentagon Budget Bolsters Nuclear Weapons, Weapons Research",Trump,Neutral
"Bloomberg Backed by DC Mayor, Biden Endorsed by Richmond's",Biden,Neutral
Gordon Sondland plugs away in Brussels while playing a central role in Trump’s impeachment trial,Trump,Negative
Moderate Democrats Fear Suburban Backlash to a Bernie Sanders Nomination,Democrats,Negative
Toomey proposing a ?one-for-one? witness deal in Trump impeachment after Bolton revelations,Trump,Neutral
The Energy 202: Climate concerns help boost Sanders and Buttigieg in New Hampshire primary,Sanders,Positive
House Democrats say Trump is unfit for office but eagerly deal with him on trade,Trump,Neutral
New York Sues Trump Administration Over 'Punitive' Ban From Traveler Programs,Trump,Negative
"Brit Hume on bounces for Amy Klobuchar and Pete Buttigieg, slides for Joe Biden and Elizabeth Warren",Klobuchar,Neutral
Steve Mnuchin Says He Will Listen to Greta Thunberg After She Gets an Economics Degree in College,Thunberg,Neutral
"Trump hits Pelosi, Romney on impeachment at National Prayer Breakfast",Trump,Negative
Biden Heading to South Carolina Sanders Steady as New Hampshire Votes,Biden,Neutral
Bloomberg uses Romney’s impeachment vote speech to bash Trump in new ad,Trump,Negative
"Trump, Shifting Arguments, Urges Swift Dismissal of Impeachment Charges",Trump,Neutral
Pete Buttigieg - Foreign Policy,Buttigieg,Neutral
Former U.S. Lawmaker Delaney Ends 2020 Democratic Presidential Bid,Delaney,Negative
Bernie Sanders and Joe Biden continue to spar about the Iraq war ? nearly 18 years later,Biden,Neutral
"Seeing a Bloomberg Ad on Fox News, Trump Takes the Bait",Trump,Negative
This is perhaps Trump’s most cynical comment about the environment yet,Trump,Negative
"Trump Proposes Cutting Amtrak Funding, Boosting Infrastructure Spending",Trump,Neutral
"Buttigieg responds to Biden’s Obama jab: ‘I’m not, and neither is he’",Biden,Neutral
Biden campaign touts backing of coalition of South Carolina women with focus on turnout,Biden,Positive
"Esper contradicts Trump, Pompeo on Soleimani attacking embassies",Trump,Negative
House Democrats brace for some defections among moderates on impeachment of Trump - The Washington Post,Democrats,Neutral
Bernie Sanders wins New Hampshire primary,Sanders,Positive
"At First Rally of Election Year, Trump Boasts About Strike on Iranian General",Trump,Neutral
"AP-NORC Poll: GOP More Fired Up for 2020, Democrats Anxious",GOP,Positive
Former New Hampshire governor on 2020 Democrats,Democrats,Neutral
Trump says Democrats have become ‘Party of Hate’ after House panel votes to oust him,Trump,Neutral
"Buttigieg and Sanders take lead, Biden fades in partial results from marred Iowa caucuses",Sanders,Positive
"These Iowa voters loved Joe Biden in 2008. Now, they’re not sure he’s the one.",Biden,Neutral
The Finance 202: Judy Shelton tests Trump's bid to remake the Federal Reserve,Trump,Negative
Watch Andrew Yang Talk About Racial Representation at Democratic Debate,Yang,Neutral
"White House Excludes CNN From Trump Session, With No Protest",Trump,Neutral
"Sanders Edges Buttigieg in NH, Giving Dems 2 Front-Runners",Sanders,Neutral
"Buttigieg Leads Delegate Count in Initial Iowa Caucus Results, Biden in Fourth",Biden,Negative
"Warren, Sanders, Biden, Yang, Klobuchar, Steyer, Buttigieg may skip next debate over Loyola Marymount labor dispute ",Klobuchar,Neutral
Power Up: The Senate impeachment trial of President Trump is at its most crucial phase,Trump,Neutral
Trump’s Reality-TV State of the Union Argues for Another Season,Trump,Negative
"Justice Dept. Reviewing Information From Giuliani on the Bidens, Graham Says",Biden,Neutral
Democrats Make Final Appeals in a Cloudy 2020 Iowa Caucus Race,Democrats,Neutral
Bloomberg gets under Trump?s skin as he ramps up spending on 2020 ads,Bloomberg,Positive
Nevada Democrats to Rely on Paper-Based Early Caucus Voting,Democrats,Neutral
Campaign fundraising hauls solidify Democratic leaders as Trump continues to amass financial firepower,Trump,Positive
Pete Buttigieg leads in Iowa with 92 percent of precincts reporting,Buttigieg,Positive
"Buttigieg, Biden, Warren and Sanders all stumped in Cedar Rapids Saturday",Warren,Neutral
Trump says higher voting levels would hurt Republicans - The Washington Post,Republicans,Negative
"Biden predicts New Hampshire defeat, looks ahead to South Carolina",Biden,Negative
Now Testifying for the Prosecution: President Trump,Trump,Neutral
Democrats Ditch Rust Belt for Sun Belt in Bid for Future Growth,Democrats,Neutral
Meet the New Hampshire voter who made $12G from Andrew Yang's 'Freedom Dividend',Yang,Neutral
"New witnesses force media, Democrats to confront Biden allegations",Democrats,Negative
"Sanders-Warren: An Alliance, if Not a Close Friendship, Suddenly Fractures",Sanders,Negative
Buttigieg boom in New Hampshire looks real,Buttigieg,Positive
Impeachment Briefing: Democrats Open Their Case,Democrats,Neutral
What would a brokered Democratic convention mean for Trump?,Trump,Neutral
On Politics: A Sanders Scenario,Sanders,Neutral
MAYOR CHEAT Buttigieg campaign roasted for adding applause sound track to CNN town hall clips,Buttigieg,Negative
Democrats Condemn Trump at Trial as Threat to American Democracy,Trump,Negative
Power Up: Bernie Sanders's 'revolution' may not materialize after narrow New Hampshire primary win,Sanders,Negative
Republicans raise $117 million throughout Trump’s impeachment,Trump,Positive
McConnell says he’s ready to begin Trump impeachment trial with no deal on witnesses,Trump,Negative
Senator Bennet Drops Out of 2020 Democratic Presidential Race,Bennet,Negative
Trump’s defenders have an awfully selective appreciation for the Constitution,Trump,Neutral
"Iowa Democratic Party projects Pete Buttigieg the winner of the delegate race, with Bernie Sanders preparing a challenge - The Washington Post",Democratic Party,Positive
"Trump upended three decades of U.S. strategy with North Korea, but the gamble has failed to pay off",Trump,Negative
"New Hampshire gives Klobuchar major boost, puts Biden and Warren on 2020 life support",Warren,Negative
Gabbard’s Lawyer Says Clinton Is Too ‘Intimated’ to Be Served Defamation Lawsuit: Report,Gabbard,Neutral
"Joe Biden Democratic candidate: Biography, issues, fundraising",Biden,Neutral
Democrats’ silver lining? Some Senate Republicans at least agree that Trump ‘did it.’ - The Washington Post,Democrats,Positive
Biden campaign’s selection of preferred super PAC stokes strife in Democratic Party - The Washington Post,Democratic Party,Negative
More than 200 Republican members of Congress urge Supreme Court to reconsider Roe v. Wade abortion rights decision - The Washington Post,Republicans,Neutral
"Joy Behar, Furious Over Acquittal, Says Trump’s ‘Winning’: ‘He’s Made Me Crazy!’ (VIDEO)",Trump,Negative
"Trump to headline a $580,600-per-couple fundraiser, the most expensive of his reelection bid",Trump,Neutral
"Trump slams Manchin as a 'puppet,' even after West Virginia Democrat signals he’s open to endorsing president",Trump,Negative
"Bloomberg’s controversial comments on stop and frisk, China and more",Bloomberg,Neutral
The Daily 202: The ghosts of 1979 still haunt U.S. policy toward Iran and shadow Trump’s response to missile strikes,Trump,Negative
President Trump fires major impeachment figures Colonel Vindman and Ambassador Sondland,Trump,Negative
Trump impeachment trial live updates,Trump,Negative
Bernie Sanders supporters eagerly await New Hampshire results,Sanders,Positive
"Trump, Like Obama, Seeks Change in Iran. But He Differs in How to Do It.",Trump,Neutral
House Democrats unveil two articles of impeachment against Trump White House predicts ‘full exoneration’ in GOP-led Senate - The Washington Post,GOP,Neutral
"'It was all bulls**t': Trump hits Romney, Democrats, and Russia probe in post-acquittal victory speech (VIDEO)",Trump,Positive
"Jill Biden says Lindsey Graham, once close with Joe, no longer a friend",Biden,Neutral
"Buttigieg, Sanders Campaigns Request Iowa Recanvass: Iowa Democrats",Sanders,Neutral
"Trump attacks Nancy Pelosi, Gavin Newsom over California’s homelessness crisis",Trump,Neutral
No firsthand knowledge is GOP rallying cry in defense of Trump on impeachment - The Washington Post,GOP,Positive
Sen. Alexander’s rejection of witnesses in Trump trial leaves Democrats disappointed but hardly surprised,Trump,Negative
"However historic, impeachment is but a way station in the struggle over Trump’s presidency",Trump,Negative
"Fox News Poll: Record economy ratings, as half say Senate should remove Trump",Trump,Neutral
"Republicans Block Impeachment Witnesses, Clearing Path for Trump Acquittal",Republicans,Positive
MSNBC Anchor: Everyone’s Drawing Huge Crowds in Iowa Except Biden (VIDEO),Biden,Negative
"Iowa caucus results too close to call as Sanders, Buttigieg finish in virtual tie",Buttigieg,Neutral
"Victors in Iowa, Sanders and Buttigieg Are Targets in Democratic Debate",Buttigieg,Positive
Trump accuses ‘unhinged’ Democrats of 'defending the life' of Iran's Soleimani,Democrats,Negative
Navy Secretary Richard Spencer Says He’ll Endorse Bloomberg,Bloomberg,Positive
Trump's Kansas City tweet flub is part of a pattern,Trump,Negative
Pete Buttigieg Argues for End of Electoral College After Iowa ‘Victory’ Without Popular Vote,Buttigieg,Neutral
Report: The Ukraine Prosecutor Biden Got Fired Files Federal Paperwork Demanding Investigation Into Biden,Biden,Negative
"Gabbard: Voters need to know their votes will be counted, voices heard",Gabbard,Neutral
"To Senate Republicans, a Vote for Witnesses Is a Vote for Trouble",Republicans,Negative
GOP Senators Seek to Acquit Trump Without Condoning Conduct,Trump,Neutral
U.S. Judge Denied Trump Adviser Stone's Request for a New Trial: Filing,Trump,Neutral
"Sanders, Buttigieg seek second straight good showing in New Hampshire.",Buttigieg,Neutral
WATCH: Trump Won’t Shake Nancy Pelosi’s Hand at State of the Union,Trump,Negative
Guy Benson on Democratic establishment and Bernie Sanders,Sanders,Neutral
How the Iowa Caucuses Became an Epic Fiasco for Democrats,Democrats,Negative
Sen. Scott addresses Mitt Romney's decision to convict Trump,Trump,Neutral
Mitt Romney Is a ‘Judas’ to Many Republicans. But Not in Utah.,Republicans,Neutral
Democrats Announce New Debate Rules Likely to Allow Bloomberg to Join,Bloomberg,Positive
Trump Seeks to Delay Woman's Suit After Request for His DNA,Trump,Neutral
Trump Adviser Pushes Utah Congressman for Top Intelligence Post,Trump,Negative
Democrats are picking a nominee based on the factor they’re worst at evaluating - The Washington Post,Democrats,Negative
Mike Bloomberg says he's willing to spend whatever it takes to beat President Trump,Trump,Negative
Andrew Yang Drops Out of Presidential Race,Yang,Negative
Elizabeth Warren Has a Pete Buttigieg Problem,Warren,Negative
Where the goal posts are: Trump’s legal team argues he didn’t ask for an investigation into Biden,Trump,Negative
"Trump, Manchin Trading Barbs as Impeachment Feud Boils Over",Trump,Neutral
MLK’s Niece Denounces Democrat For ‘Race Baiting’ Trump,Trump,Negative
GOP senators request travel documents in Hunter Biden investigation - The Washington Post,GOP,Neutral
Progressive platform fuels Bernie Sanders' victory in New Hampshire,Sanders,Positive
"Pam Bondi Lays Out Case Against Joe Biden, Hunter Biden, Burisma",Biden,Negative
"President Trump has made 15,413 false or misleading claims over 1,055 days",Trump,Negative
Trump’s Iran gambit reveals ideological rift between hawks and isolationists in his base,Trump,Neutral
"Biden abruptly cancels New Hampshire primary party appearance, heads to South Carolina",Biden,Neutral
Trump’s team dismisses the case for impeachment as weak — and then sloppily attacks Joe Biden,Trump,Negative
U.S. Presidential Candidate Bloomberg Endorsed by Three Black Lawmakers,Bloomberg,Positive
New York to Sue Trump Administration Over Global Entry Freeze,Trump,Negative
"U.S. Sanctions Tighten Putin’s Circle, Extend Kremlin’s Reach",Putin,Neutral
Appeals Court: Deutsche Bank Must Turn Over Trump Financial Records to Democrats,Democrats,Neutral
Trump-Backed U.S.-British Trade Deal Faces Hurdles,Trump,Neutral
"Trump insists he has ‘legal right’ to intervene in DOJ cases, but has chosen not to",Trump,Neutral
Sen. Lindsey Graham says President Trump can run on a record that Democrats can't refute,Trump,Positive
Democrats May Be Blowing Their Chance,Democrats,Negative
"President Trump’s 2020 State of the Union address, annotated",Trump,Neutral
"Buttigieg Holds Narrow Lead in Iowa, Biden Lags in Democrats' Updated Results",Democrats,Neutral
Who are Trump's Impeachment Defense Lawyers,Trump,Neutral
The Energy 202: Trump pumped up claims about oil and gas during State of the Union,Trump,Negative
"In Iowa’s Small Black Community, Little Love for the Caucuses or Joe Biden",Biden,Negative
What to Expect from the House and Senate on Trump's Impeachment,Trump,Neutral
"Amid impeachment, Trump's approval rating climbs to highest levels of his presidency",Trump,Positive
Biden Reaches for 'Comeback Kid' Mantle in New Hampshire,Biden,Neutral
Super Tuesday looms large as Democrats seek to shore up South Carolina support - The Washington Post,Democrats,Neutral
"Biden finishes 5th in New Hampshire primary, says ‘It ain’t over’",Biden,Neutral
Trump’s lawyer and the Venezuelan president: How Giuliani got involved in back-channel talks with Maduro,Trump,Neutral
"Buttigieg comes out swinging at Sanders, Biden after being targeted following Iowa victory",Sanders,Neutral
U.S. Justice Department Declines to Offer Court Sentencing Guidance on Trump Adviser Stone,Trump,Neutral
House Democrats ask Secret Service for details about its payments to Trump’s company,Trump,Negative
Delaware University Pulls Art Depicting Trump Decapitation,Trump,Neutral
"Army Denies Request by Soldier Pardoned by Trump, Setting Up Showdown",Trump,Neutral
Biden campaign adviser: Joe Biden is the greatest retail politician in America,Biden,Positive
"After a ‘gut punch’ in Iowa, a surreal feeling surrounds Biden’s campaign",Biden,Negative
Pete Buttigieg Refuses to Answer Half of NYT Foreign Policy Survey,Buttigieg,Negative
Trump Impeachment: Highlights of Saturday’s Trial,Trump,Negative
Rep. Mark Meadows says part of the Trump administration is trying to defeat President Trump's agenda,Trump,Negative
"Trump’s impeachment defense, distilled: he’s innocent and his opponents are guilty",Trump,Positive
"Trump notwithstanding, incomes in blue America continue to grow faster than in red areas",Trump,Neutral
"The Latest: Biden: First Two States Important, Not Critical",Biden,Neutral
Yang tells Dem rivals: 'Donald Trump is the not the cause of all of our problems',Yang,Neutral
Bernie Sanders and His Internet Army,Sanders,Neutral
Lewandowski: Tonight is going to be a big night for Sanders and Buttigieg,Buttigieg,Positive
"Lara Trump reacts to Jill, Joe Biden defending son Hunter on ‘The View’",Biden,Neutral
The Latest: Warren Says She's Best Positioned to Beat Trump,Warren,Positive
"Migrants say they will wait out Trump's presidency in Mexico, and try to enter again once a Democrat gets into office",Trump,Negative
Trump’s Impeachment Is Virtually Over. What Did It Change?,Trump,Neutral
Julián Castro endorses Elizabeth Warren for president,Warren,Positive
Trump Says He Will Sign Phase-One Trade Deal With China on Jan. 15,Trump,Neutral
"Montana Gov. Steve Bullock to run for Senate, boosting Democrats’ fortunes in their bid to claim Senate majority - The Washington Post",Democrats,Positive
Trump Unbound at White House Celebration of His Acquittal,Trump,Neutral
Attorney General Barr wants President Trump to stop tweeting about the Justice Department,Trump,Neutral
The team that rigged the GOP primaries accuses Democrats of rigging Iowa against Sanders ,Sanders,Neutral
Trump's impeachment lawyers on Rudy Giuliani: a 'minor player',Trump,Negative
Sanders holds lead as Klobuchar surges ahead of New Hampshire primary,Sanders,Positive
"Sanders Calls for Unity, but His Supporters Have Other Ideas",Sanders,Positive
"Angry With Trump, Most New Hampshire Democratic Primary Voters Will Back Party's Nominee 'Regardless': Edison Research",Trump,Negative
Text of President Trump's 2020 State of the Union Address,Trump,Neutral
Dave Chappelle: 'I don’t look at Trump supporters as my enemy' (VIDEO),Trump,Neutral
"Iowa in Focus: Democrats Open 2020 With Hope, Anxiety",Democrats,Neutral
Senate Opens Trump Impeachment Trial as New Ukraine Revelations Emerge,Trump,Negative
"Trump should apologize for minimizing troops’ injuries, VFW says",Trump,Negative
Trump’s lawyer and the Venezuelan president: How Giuliani got involved in back-channel talks with Maduro,Trump,Neutral
Full Transcript of Trump's State of The Union Address,Trump,Neutral
Trump Falsely Calls China Trade Agreement ‘Biggest Deal There Is’,Trump,Negative
Trade-Court Lawsuits Take On Trump’s Tariff Campaign,Trump,Negative
"Fox News Poll: Sanders gains among Democrats, Biden still best against Trump",Biden,Positive
Trump's $4.8 Trillion Budget Gets Chilly Reception From Congress,Trump,Negative
Trump Diatribe Belittles Impeachment as ‘Attempted Coup’ on Eve of Votes,Trump,Neutral
How Pete Buttigieg Tailors His Message to Black and White Voters,Buttigieg,Neutral
"Joe Biden Seeks to Unite Democrats With Medicare, Student-Debt Proposals",Democrats,Positive
Rick Lazio Ponders GOP Suburban Strategy,GOP,Neutral
"With Democrats in New Hampshire, Steyer Has SC to Himself",Steyer,Neutral
Klobuchar gives proud speech after strong New Hampshire showing: 'Beaten the odds every step of the way',Klobuchar,Neutral
GOP senators request travel documents in Hunter Biden investigation,Biden,Negative
Spotlight Falls on Democrats From Trump-Friendly States,Trump,Neutral
Trump trolls Democrats with rally on eve of New Hampshire primary,Trump,Negative
Moderate Democrats Fear Bernie Sanders Could Cost Them the House,Sanders,Negative
"Wuhan, Trump, Oscars: Your Friday Briefing",Trump,Neutral
Trump’s prepared speech included a guarantee to protect preexisting conditions. He didn’t say it.,Trump,Negative
The Technology 202: Trump administration's CES message: We're not interested in heavy AI regulation,Trump,Positive
Trump and Republicans join forces to attack Biden ahead of the Iowa caucuses,Trump,Neutral
Warren and Sanders Seemed to Calm Things. Then the Debate Ended.,Sanders,Positive
The Technology 202: Women in tech wanted more female CES keynotes. But Ivanka Trump is drawing controversy.,Trump,Negative
"Elizabeth Warren Democratic candidate: Biography, issues, fundraising",Warren,Neutral
"With little protest, GOP succumbs to Trump on spending",Trump,Neutral
Jeff Van Drew’s party switch underscores the particularly partisan impeachment of Trump,Trump,Negative
Elizabeth Warren's Challenge: Breaking Out of Murky Middle,Warren,Negative
"As Pandemic Imperils Elections, Democrats Clash With Trump on Voting Changes",Democrats,Negative
"At Milwaukee Rally, Trump Defends Strike on Iranian General and Lashes Out at Democrats",Democrats,Negative
"Democrats charge Trump with two impeachment articles, setting up historic vote",Trump,Negative
A Law Professor’s Provocative Argument: Trump Has Not Yet Been Impeached,Trump,Neutral
Warren says male candidates 'wrong' if they think they have a better chance of beating Trump,Warren,Neutral
"Trump Has Taunting Message For Democrats After ‘Historically Bad’ Hearing: ‘Do It Now, Fast’",Democrats,Negative
Assessing the ‘four facts’ that a prominent Republican insists prove Trump’s innocence - The Washington Post,Republicans,Neutral
"Trump, Bloomberg each spend an estimated $10 million for 60 seconds of Super Bowl ads",Bloomberg,Neutral
"In Political Speech to Congress, Trump Pokes at Democrats' Divide on Healthcare",Democrats,Negative
This is who should testify in Trump’s Senate impeachment trial,Trump,Neutral
Trump Accuses Media and Democrats of Exaggerating Coronavirus Threat,Democrats,Negative
Buttigieg campaign official: We need a candidate who's not polarizing,Buttigieg,Positive
Courts Are the Next Front in Trump's Battle Over Presidential Powers,Trump,Neutral
Top Senate Republicans reject Trump’s renewed call for immediate dismissal of impeachment charges,Trump,Negative
Judge Halts Trump Policy That Allows States to Bar Refugees,Trump,Negative
Reporter Presses Pelosi About Ripping Up Trump’s Speech. Here’s Her Harsh Response.,Trump,Negative
The gaping hole in Trump’s impeachment defense,Trump,Negative
Poll Gives Trump Best Economic Rating in Almost Twenty Years,Trump,Neutral
Trump’s Arrival in London Brings Controversy but Little Surprise,Trump,Negative
"House to vote on sending impeachment articles to the Senate, launching historic trial of President Trump",Trump,Negative
Bloomberg and Trump Buy Super Bowl Ads at $10 Million Each,Trump,Neutral
Utah GOP resolution would demand Mitt Romney support Trump or vacate his seat,Trump,Neutral
New York State Sues Trump Administration Over Global Entry Ban,Trump,Negative
Trump: Don't want to say yet whether I'd pardon Roger Stone,Trump,Neutral
"In Wake of Impeachment, Trump Allies Boycott House Intelligence Tech Hearing",Trump,Neutral
Here’s How Tom Steyer’s Lavish Spending Divided South Carolina Democrats,Democrats,Negative
Biden and Sanders Clash Over Social Security,Sanders,Negative
Trump Administration Asks Supreme Court to Reinstate Blocked Executions,Trump,Neutral
"Impeachment Takeaways: Trump's Iron Grip, McConnell Delivers",Trump,Positive
"Aiming at Trump, Biden Says a President's Character Matters",Trump,Negative
"White House claims 'full vindication' after Trump acquittal, slams Romney as 'failed' candidate",Trump,Neutral
Julián Castro endorses Elizabeth Warren for president,Warren,Positive
U.S. Seeks Prison Term of 7-9 Years for Trump's Longtime Adviser Roger Stone,Trump,Neutral
Media spotlight surging Klobuchar as Sanders leads in NH,Klobuchar,Positive
How Amy Klobuchar Pulled Off the Big Surprise of the New Hampshire Primary,Klobuchar,Positive
Biden Slashes Into Buttigieg: ‘This Guy’s Not a Barack Obama!’,Biden,Negative
"Muted on Hong Kong demonstrations, Trump showers support on Iranian protesters and seeks to score points on Democrats",Trump,Positive
Sanders’s caucus target: Latino voters usually overlooked in mostly white Iowa,Sanders,Negative
Biden: Sanders 'Changed His Mind' on Gun Policies,Sanders,Negative
Andrew Yang lays off staffers after poor showing in Iowa,Yang,Neutral
"Post Impeachment, a Key Republican Suburban Area Rallies Around Trump",Trump,Positive
"A Biden-G.O.P. Ticket? He’s Open to It, but Doesn’t See Options",Biden,Neutral
Amy Klobuchar Is Pressed on ‘The View’ Over Her Record as a Prosecutor,Klobuchar,Negative
"Trump jabs at Dems, Mitt Romney with 'Love Hurts,' 'Democrat secret asset' videos",Trump,Negative
